kdcode,dt,close,open,high,low,prev_close,volume
AAPL,2023-11-16,189.7100067138672,189.57000732421875,190.9600067138672,188.64999389648438,188.00999450683594,54412900
AAPL,2023-11-17,189.69000244140625,190.25,190.3800048828125,188.57000732421875,189.7100067138672,50922700
AAPL,2023-11-20,191.4499969482422,189.88999938964844,191.91000366210938,189.8800048828125,189.69000244140625,46505100
AAPL,2023-11-21,190.63999938964844,191.41000366210938,191.52000427246094,189.74000549316406,191.4499969482422,38134500
AAPL,2023-11-22,191.30999755859375,191.49000549316406,192.92999267578125,190.8300018310547,190.63999938964844,39617700
AAPL,2023-11-24,189.97000122070312,190.8699951171875,190.89999389648438,189.25,191.30999755859375,24048300
AAPL,2023-11-27,189.7899932861328,189.9199981689453,190.6699981689453,188.89999389648438,189.97000122070312,40552600
AAPL,2023-11-28,190.39999389648438,189.77999877929688,191.0800018310547,189.39999389648438,189.7899932861328,38415400
AAPL,2023-11-29,189.3699951171875,190.89999389648438,192.08999633789062,188.97000122070312,190.39999389648438,43014200
AAPL,2023-11-30,189.9499969482422,189.83999633789062,190.32000732421875,188.19000244140625,189.3699951171875,48794400
AAPL,2023-12-01,191.24000549316406,190.3300018310547,191.55999755859375,189.22999572753906,189.9499969482422,45704800
AAPL,2023-12-04,189.42999267578125,189.97999572753906,190.0500030517578,187.4499969482422,191.24000549316406,43389500
AAPL,2023-12-05,193.4199981689453,190.2100067138672,194.39999389648438,190.17999267578125,189.42999267578125,66628400
AAPL,2023-12-06,192.32000732421875,194.4499969482422,194.75999450683594,192.11000061035156,193.4199981689453,41089700
AAPL,2023-12-07,194.27000427246094,193.6300048828125,195.0,193.58999633789062,192.32000732421875,47477700
AAPL,2023-12-08,195.7100067138672,194.1999969482422,195.99000549316406,193.6699981689453,194.27000427246094,53406400
AAPL,2023-12-11,193.17999267578125,193.11000061035156,193.49000549316406,191.4199981689453,195.7100067138672,60943700
AAPL,2023-12-12,194.7100067138672,193.0800018310547,194.72000122070312,191.72000122070312,193.17999267578125,52696900
AAPL,2023-12-13,197.9600067138672,195.08999633789062,198.0,194.85000610351562,194.7100067138672,70404200
AAPL,2023-12-14,198.11000061035156,198.02000427246094,199.6199951171875,196.16000366210938,197.9600067138672,66831600
AAPL,2023-12-15,197.57000732421875,197.52999877929688,198.39999389648438,197.0,198.11000061035156,128538400
AAPL,2023-12-18,195.88999938964844,196.08999633789062,196.6300048828125,194.38999938964844,197.57000732421875,55751900
AAPL,2023-12-19,196.94000244140625,196.16000366210938,196.9499969482422,195.88999938964844,195.88999938964844,40714100
AAPL,2023-12-20,194.8300018310547,196.89999389648438,197.67999267578125,194.8300018310547,196.94000244140625,52242800
AAPL,2023-12-21,194.67999267578125,196.10000610351562,197.0800018310547,193.5,194.8300018310547,46482500
AAPL,2023-12-22,193.60000610351562,195.17999267578125,195.41000366210938,192.97000122070312,194.67999267578125,37149600
AAPL,2023-12-26,193.0500030517578,193.61000061035156,193.88999938964844,192.8300018310547,193.60000610351562,28919300
AAPL,2023-12-27,193.14999389648438,192.49000549316406,193.5,191.08999633789062,193.0500030517578,48087700
AAPL,2023-12-28,193.5800018310547,194.13999938964844,194.66000366210938,193.1699981689453,193.14999389648438,34049900
AAPL,2023-12-29,192.52999877929688,193.89999389648438,194.39999389648438,191.72999572753906,193.5800018310547,42672100
AAPL,2024-01-02,185.63999938964844,187.14999389648438,188.44000244140625,183.88999938964844,192.52999877929688,82488700
AAPL,2024-01-03,184.25,184.22000122070312,185.8800048828125,183.42999267578125,185.63999938964844,58414500
AAPL,2024-01-04,181.91000366210938,182.14999389648438,183.08999633789062,180.8800048828125,184.25,71983600
AAPL,2024-01-05,181.17999267578125,181.99000549316406,182.75999450683594,180.1699981689453,181.91000366210938,62379700
AAPL,2024-01-08,185.55999755859375,182.08999633789062,185.60000610351562,181.5,181.17999267578125,59144500
AAPL,2024-01-09,185.13999938964844,183.9199981689453,185.14999389648438,182.72999572753906,185.55999755859375,42841800
AAPL,2024-01-10,186.19000244140625,184.35000610351562,186.39999389648438,183.9199981689453,185.13999938964844,46792900
AAPL,2024-01-11,185.58999633789062,186.5399932861328,187.0500030517578,183.6199951171875,186.19000244140625,49128400
AAPL,2024-01-12,185.9199981689453,186.05999755859375,186.74000549316406,185.19000244140625,185.58999633789062,40477800
AAPL,2024-01-16,183.6300048828125,182.16000366210938,184.25999450683594,180.92999267578125,185.9199981689453,65603000
AAPL,2024-01-17,182.67999267578125,181.27000427246094,182.92999267578125,180.3000030517578,183.6300048828125,47317400
AAPL,2024-01-18,188.6300048828125,186.08999633789062,189.13999938964844,185.8300018310547,182.67999267578125,78005800
AAPL,2024-01-19,191.55999755859375,189.3300018310547,191.9499969482422,188.82000732421875,188.6300048828125,68903000
AAPL,2024-01-22,193.88999938964844,192.3000030517578,195.3300018310547,192.25999450683594,191.55999755859375,60133900
AAPL,2024-01-23,195.17999267578125,195.02000427246094,195.75,193.8300018310547,193.88999938964844,42355600
AAPL,2024-01-24,194.5,195.4199981689453,196.3800048828125,194.33999633789062,195.17999267578125,53631300
AAPL,2024-01-25,194.1699981689453,195.22000122070312,196.27000427246094,193.11000061035156,194.5,54822100
AAPL,2024-01-26,192.4199981689453,194.27000427246094,194.75999450683594,191.94000244140625,194.1699981689453,44594000
AAPL,2024-01-29,191.72999572753906,192.00999450683594,192.1999969482422,189.5800018310547,192.4199981689453,47145600
AAPL,2024-01-30,188.0399932861328,190.94000244140625,191.8000030517578,187.47000122070312,191.72999572753906,55859400
AAPL,2024-01-31,184.39999389648438,187.0399932861328,187.10000610351562,184.35000610351562,188.0399932861328,55467800
AAPL,2024-02-01,186.86000061035156,183.99000549316406,186.9499969482422,183.82000732421875,184.39999389648438,64885400
AAPL,2024-02-02,185.85000610351562,179.86000061035156,187.3300018310547,179.25,186.86000061035156,102551700
AAPL,2024-02-05,187.67999267578125,188.14999389648438,189.25,185.83999633789062,185.85000610351562,69668800
AAPL,2024-02-06,189.3000030517578,186.86000061035156,189.30999755859375,186.77000427246094,187.67999267578125,43490800
AAPL,2024-02-07,189.41000366210938,190.63999938964844,191.0500030517578,188.61000061035156,189.3000030517578,53439000
AAPL,2024-02-08,188.32000732421875,189.38999938964844,189.5399932861328,187.35000610351562,189.41000366210938,40962000
AAPL,2024-02-09,188.85000610351562,188.64999389648438,189.99000549316406,188.0,188.32000732421875,45155200
AAPL,2024-02-12,187.14999389648438,188.4199981689453,188.6699981689453,186.7899932861328,188.85000610351562,41781900
AAPL,2024-02-13,185.0399932861328,185.77000427246094,186.2100067138672,183.50999450683594,187.14999389648438,56529500
AAPL,2024-02-14,184.14999389648438,185.32000732421875,185.52999877929688,182.44000244140625,185.0399932861328,54630500
AAPL,2024-02-15,183.86000061035156,183.5500030517578,184.49000549316406,181.35000610351562,184.14999389648438,65434500
AAPL,2024-02-16,182.30999755859375,183.4199981689453,184.85000610351562,181.6699981689453,183.86000061035156,49752500
AAPL,2024-02-20,181.55999755859375,181.7899932861328,182.42999267578125,180.0,182.30999755859375,53665600
AAPL,2024-02-21,182.32000732421875,181.94000244140625,182.88999938964844,180.66000366210938,181.55999755859375,41371400
AAPL,2024-02-22,184.3699951171875,183.47999572753906,184.9600067138672,182.4600067138672,182.32000732421875,52292200
AAPL,2024-02-23,182.52000427246094,185.00999450683594,185.0399932861328,182.22999572753906,184.3699951171875,45119700
AAPL,2024-02-26,181.16000366210938,182.24000549316406,182.75999450683594,180.64999389648438,182.52000427246094,40867400
AAPL,2024-02-27,182.6300048828125,181.10000610351562,183.9199981689453,179.55999755859375,181.16000366210938,54318900
AAPL,2024-02-28,181.4199981689453,182.50999450683594,183.1199951171875,180.1300048828125,182.6300048828125,48953900
AAPL,2024-02-29,180.75,181.27000427246094,182.57000732421875,179.52999877929688,181.4199981689453,136682600
MSFT,2023-11-16,376.1700134277344,370.9599914550781,376.3500061035156,370.17999267578125,369.6700134277344,27182300
MSFT,2023-11-17,369.8500061035156,373.6099853515625,374.3699951171875,367.0,376.1700134277344,40157000
MSFT,2023-11-20,377.44000244140625,371.2200012207031,378.8699951171875,371.0,369.8500061035156,52465100
MSFT,2023-11-21,373.07000732421875,375.6700134277344,376.2200012207031,371.1199951171875,377.44000244140625,28423100
MSFT,2023-11-22,377.8500061035156,378.0,379.7900085449219,374.9700012207031,373.07000732421875,23345300
MSFT,2023-11-24,377.42999267578125,377.3299865722656,377.9700012207031,375.1400146484375,377.8500061035156,10176600
MSFT,2023-11-27,378.6099853515625,376.7799987792969,380.6400146484375,376.20001220703125,377.42999267578125,22179200
MSFT,2023-11-28,382.70001220703125,378.3500061035156,383.0,378.1600036621094,378.6099853515625,20453100
MSFT,2023-11-29,378.8500061035156,383.760009765625,384.29998779296875,377.44000244140625,382.70001220703125,28963400
MSFT,2023-11-30,378.9100036621094,378.489990234375,380.0899963378906,375.4700012207031,378.8500061035156,30554400
MSFT,2023-12-01,374.510009765625,376.760009765625,378.1600036621094,371.30999755859375,378.9100036621094,33040500
MSFT,2023-12-04,369.1400146484375,369.1000061035156,369.5199890136719,362.8999938964844,374.510009765625,32063300
MSFT,2023-12-05,372.5199890136719,366.45001220703125,373.0799865722656,365.6199951171875,369.1400146484375,23065000
MSFT,2023-12-06,368.79998779296875,373.5400085449219,374.17999267578125,368.0299987792969,372.5199890136719,21182100
MSFT,2023-12-07,370.95001220703125,368.2300109863281,371.45001220703125,366.32000732421875,368.79998779296875,23118900
MSFT,2023-12-08,374.2300109863281,369.20001220703125,374.4599914550781,368.2300109863281,370.95001220703125,20154400
MSFT,2023-12-11,371.29998779296875,368.4800109863281,371.6000061035156,366.1000061035156,374.2300109863281,27708800
MSFT,2023-12-12,374.3800048828125,370.8500061035156,374.4200134277344,370.4599914550781,371.29998779296875,24838300
MSFT,2023-12-13,374.3699951171875,376.0199890136719,377.6400146484375,370.7699890136719,374.3800048828125,30955500
MSFT,2023-12-14,365.92999267578125,373.30999755859375,373.760009765625,364.1300048828125,374.3699951171875,43277500
MSFT,2023-12-15,370.7300109863281,366.8500061035156,372.3999938964844,366.2799987792969,365.92999267578125,78502300
MSFT,2023-12-18,372.6499938964844,369.45001220703125,373.0,368.67999267578125,370.7300109863281,21802900
